WireL,WireH,NatPerch,NatPerchH,AnthroPerch,AnthroPerchH,Ditches,DitchD,DitchW,GrassW,GrassH
500,9.5,51,12,2,2,2,2.375,7.5,2.5,0.275
500,10.5,51,8,1,1.5,1,3,15,2,0.275
0,0,51,6,1,2,1,2.5,5,1,0.075
500,8.5,28,8,1,1,0,0,0,4,0.2
580,9.5,0,0,8,4,0,0,0,2,0.2
500,8.5,51,10,32,2,2,2.75,12,2,0.2
0,0,51,7.5,5,3,1,3,23,3,1.8
500,9,72,3.5,9,2,1,1.2,2.5,9,0.15
500,9.5,21,1.5,2,1,1,0.8,2.5,7,0.2
700,9.5,63,9,8,2,1,0.8,4.5,8.5,0.25
0,0,51,11,0,0,0,0,0,2,0.1
50,10.5,51,8,6,4,1,4,12,2.5,0.55
350,9.5,51,9.5,6,2,2,2,8.375,2.5,0.15
0,0,23,4,0,0,1,0.75,3.75,4,0.4
500,9.5,0,0,5,1.6,1,1.8,6,7.5,0.1
750,9.5,0,0,3,1,0,0,0,5,0.1
500,9.5,0,0,4,2,0,0,0,3,0.4
500,9.5,9,1.8,0,0,3,1.933333333,6.666666667,4,0.2
500,9.5,35,13,13,2,1,0.2,2,5.25,0.3
500,9.5,1,1.2,2,3,0,0,0,4,0
450,9,100,13,16,1.3,0,0,0,6,1
500,9,15,1.8,3,1.5,2,0.25,1.25,4.5,0.25
750,9,90,4,29,3,1,1.3,4.5,7,0.3
500,9,100,5.5,0,0,2,0.3,1,5.75,0.85
500,9,72,12,3,3,1,0.3,0.8,3.5,0.25
550,9,9,10,0,0,0,0,0,2,0.025
550,9,0,0,0,0,1,0.5,1.5,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
250,9,0,0,6,4,3,7.5,12.5,1,0.1
400,9.5,0,0,0,0,0,0,0,5.5,0.075
700,9.5,3,8,65,3,1,0.2,1.2,7,0.4
500,9.5,87,3,6,1.8,2,0.6,4.25,5,0.4
0,0,101,16,200,1.4,0,0,0,3,0.3
1100,9,100,5,1,1.5,2,0.55,3,8.5,0.2
550,8.5,60,11,14,3,3,0.266666667,1.166666667,10.5,0.25
200,9,33,3,0,0,2,0.25,0.75,1,0.07
